"Date","Price","Open","High","Low","Vol.","Change %"
"10/24/2025","403.30","406.95","408.50","401.00","6.31M","-0.63%"
"10/23/2025","405.85","407.50","408.90","403.60","14.13M","1.00%"
"10/21/2025","401.85","402.80","403.40","400.05","3.45M","0.53%"
"10/20/2025","399.75","400.05","403.40","396.60","10.47M","0.79%"
"10/17/2025","396.60","396.80","402.50","392.25","16.56M","-0.05%"
"10/16/2025","396.80","395.45","400.45","389.55","21.98M","1.52%"
"10/15/2025","390.85","403.00","403.00","388.00","26.95M","-1.16%"
"10/14/2025","395.45","400.00","421.55","376.30","52.27M","-1.14%"
"10/13/2025","400.00","411.05","411.29","398.40","33.29M","-2.68%"
"10/10/2025","411.02","414.56","416.86","403.72","16.07M","-0.32%"
"10/09/2025","412.32","414.44","414.68","404.87","16.20M","-0.07%"
"10/08/2025","412.59","420.67","424.97","411.05","16.57M","-2.36%"
"10/07/2025","422.58","431.42","431.57","422.04","13.10M","-2.05%"
"10/06/2025","431.42","434.66","434.96","426.15","10.33M","-0.48%"
"10/03/2025","433.51","434.96","447.79","432.84","27.79M","-0.31%"
"10/01/2025","434.87","412.26","435.87","411.17","30.16M","5.61%"
"09/30/2025","411.77","406.81","413.77","403.57","15.00M","1.14%"
"09/29/2025","407.11","414.08","414.68","405.60","13.01M","-0.06%"
"09/26/2025","407.36","403.18","411.87","400.97","15.78M","1.29%"
"09/25/2025","402.15","405.54","408.63","396.70","24.69M","-2.73%"
"09/24/2025","413.44","424.06","425.76","412.44","13.25M","-2.62%"
"09/23/2025","424.58","424.85","428.48","421.94","11.90M","0.73%"
"09/22/2025","421.49","429.21","431.03","420.64","9.69M","-1.58%"
"09/19/2025","428.27","431.93","431.93","426.76","12.13M","-0.53%"
"09/18/2025","430.54","437.08","439.05","428.36","12.20M","-1.11%"
"09/17/2025","435.35","432.84","437.65","432.42","11.87M","0.83%"
"09/16/2025","431.78","432.84","435.69","426.79","9.77M","0.05%"
"09/15/2025","431.57","433.02","437.05","430.75","6.01M","-0.33%"
"09/12/2025","432.99","428.60","435.20","428.21","8.25M","1.33%"
"09/11/2025","427.30","429.94","431.03","426.52","5.53M","-0.46%"
"09/10/2025","429.27","434.45","435.87","425.40","10.36M","-0.90%"
"09/09/2025","433.17","436.56","437.23","431.93","9.41M","-0.55%"
"09/08/2025","435.57","420.73","437.08","420.16","20.53M","4.02%"
"09/05/2025","418.74","418.25","422.16","413.53","6.69M","0.61%"
"09/04/2025","416.19","427.33","427.61","415.10","13.44M","-0.66%"
"09/03/2025","418.95","416.50","419.80","414.68","6.09M","1.12%"
"09/02/2025","414.32","417.80","420.52","412.65","7.85M","-0.83%"
"09/01/2025","417.80","406.39","418.62","405.93","7.64M","3.16%"
"08/29/2025","404.99","408.90","412.35","404.39","8.20M","-0.95%"
"08/28/2025","408.90","411.59","412.20","404.27","9.47M","-0.91%"
"08/26/2025","412.65","415.77","415.86","410.62","7.50M","-0.75%"
